Date,TSLA,BND,SPY
2015-01-02,14.620667457580566,59.405372619628906,169.68777465820312
2015-01-05,14.005999565124512,59.577903747558594,166.62339782714844
2015-01-06,14.085332870483398,59.750362396240234,165.0538787841797
2015-01-07,14.063332557678223,59.78633117675781,167.1106719970703
2015-01-08,14.041333198547363,59.69291687011719,170.0760498046875
2015-01-09,13.77733325958252,59.79352951049805,168.71322631835938
2015-01-12,13.480667114257812,59.87257766723633,167.3915557861328
2015-01-13,13.616666793823242,59.930110931396484,166.9207000732422
2015-01-14,12.845999717712402,60.066650390625,165.91297912597656
2015-01-15,12.791333198547363,60.33260726928711,164.39306640625
2015-01-16,12.871333122253418,60.152923583984375,166.54901123046875
2015-01-20,12.795332908630371,60.08818817138672,166.9041748046875
2015-01-21,13.104666709899902,59.97321319580078,167.7467498779297
2015-01-22,13.441332817077637,59.98760986328125,170.24127197265625
2015-01-23,13.419333457946777,60.18170166015625,169.3079071044922
2015-01-26,13.770000457763672,60.10980224609375,169.70436096191406
2015-01-27,13.732000350952148,60.14573669433594,167.4658660888672
2015-01-28,13.291333198547363,60.361351013183594,165.31825256347656
2015-01-29,13.680000305175781,60.296627044677734,166.84640502929688
2015-01-30,13.573332786560059,60.6273193359375,164.74830627441406
2015-02-02,14.062666893005371,60.55527877807617,166.7885284423828
2015-02-03,14.557332992553711,60.368045806884766,169.20050048828125
2015-02-04,14.569999694824219,60.38961410522461,168.55621337890625
2015-02-05,14.732666969299316,60.2599983215332,170.25779724121094
2015-02-06,14.490667343139648,59.87105941772461,169.78701782226562
2015-02-09,14.498666763305664,59.849483489990234,169.02706909179688
2015-02-10,14.419333457946777,59.74141311645508,170.8277130126953
2015-02-11,14.186667442321777,59.74141311645508,170.92686462402344
2015-02-12,13.525333404541016,59.770259857177734,172.5706329345703
2015-02-13,13.584667205810547,59.63337707519531,173.281005859375
2015-02-17,13.623332977294922,59.395755767822266,173.55357360839844
2015-02-18,13.630666732788086,59.5614013671875,173.5701141357422
2015-02-19,14.11400032043457,59.51096725463867,173.44619750976562
2015-02-20,14.473999977111816,59.52532958984375,174.48696899414062
2015-02-23,13.822667121887207,59.647804260253906,174.4622344970703
2015-02-24,13.607333183288574,59.89268112182617,174.9578094482422
2015-02-25,13.583999633789062,59.95033264160156,174.8091278076172
2015-02-26,13.812666893005371,59.78468704223633,174.6026153564453
2015-02-27,13.555999755859375,59.83506393432617,174.0078887939453
2015-03-02,13.155332565307617,59.64167785644531,175.1065216064453
2015-03-03,13.303999900817871,59.569496154785156,174.3878631591797
2015-03-04,13.496000289916992,59.569496154785156,173.6527557373047
2015-03-05,13.375332832336426,59.605587005615234,173.8426971435547
2015-03-06,12.925333023071289,59.25918197631836,171.39764404296875
2015-03-09,12.725333213806152,59.33136749267578,172.10806274414062
2015-03-10,12.687999725341797,59.562286376953125,169.31613159179688
2015-03-11,12.916000366210938,59.62724685668945,168.9196319580078
2015-03-12,12.73799991607666,59.6705436706543,171.0672607421875
2015-03-13,12.578666687011719,59.61280059814453,170.0182647705078
2015-03-16,13.046667098999023,59.72822570800781,172.289794921875
2015-03-17,12.982000350952148,59.778770446777344,171.77764892578125
2015-03-18,13.380666732788086,60.14683532714844,173.8426971435547
2015-03-19,13.043333053588867,59.966373443603516,173.04969787597656
2015-03-20,13.20533275604248,60.12517547607422,174.57716369628906
2015-03-23,13.308667182922363,60.15404510498047,174.237060546875
2015-03-24,13.447999954223633,60.25503921508789,173.2579803466797
2015-03-25,12.953332901000977,60.161190032958984,170.71908569335938
2015-03-26,12.694000244140625,59.966373443603516,170.3125
2015-03-27,12.333333015441895,60.02413558959961,170.70245361328125
2015-03-30,12.704667091369629,60.09627151489258,172.78506469726562
2015-03-31,12.584667205810547,60.161190032958984,171.27500915527344
2015-04-01,12.505999565124512,60.40061569213867,170.66929626464844
2015-04-02,12.733332633972168,60.32105255126953,171.28330993652344
2015-04-06,13.539999961853027,60.371665954589844,172.4365997314453
2015-04-07,13.550000190734863,60.40787887573242,171.98028564453125
2015-04-08,13.844667434692383,60.364471435546875,172.56101989746094
2015-04-09,14.005999565124512,60.23426818847656,173.32437133789062
2015-04-10,14.0600004196167,60.20536422729492,174.27017211914062
2015-04-13,13.985333442687988,60.219791412353516,173.48199462890625
2015-04-14,13.830666542053223,60.328304290771484,173.81385803222656
2015-04-15,13.85533332824707,60.386192321777344,174.59378051757812
2015-04-16,13.779999732971191,60.371665954589844,174.54403686523438
2015-04-17,13.78600025177002,60.472938537597656,172.5361328125
2015-04-20,13.684666633605957,60.40787887573242,174.1126251220703
2015-04-21,13.96066665649414,60.33552551269531,173.90518188476562
2015-04-22,14.629332542419434,60.11130142211914,174.75970458984375
2015-04-23,14.573332786560059,60.227020263671875,175.19952392578125
2015-04-24,14.562000274658203,60.32105255126953,175.60601806640625
2015-04-27,15.436667442321777,60.27766418457031,174.87588500976562
2015-04-28,15.36533260345459,60.089637756347656,175.43185424804688
2015-04-29,15.49666690826416,59.901588439941406,174.7099609375
2015-04-30,15.069999694824219,59.9666633605957,172.9593048095703
2015-05-01,15.0686674118042,59.784751892089844,174.83447265625
2015-05-04,15.36733341217041,59.69779586791992,175.33226013183594
2015-05-05,15.529999732971191,59.6036376953125,173.32437133789062
