Date,Forecast_Return,Forecast_Price
2026-06-30,0.0016477597223047437,412.51860969589035
2026-07-01,0.004136852534548914,414.22513835195934
2026-07-02,0.0030719799816628164,415.49762968487806
2026-07-03,0.002540106540794119,416.5530379317251
2026-07-06,0.0013771922163169261,417.12671153324777
2026-07-07,0.0017177142057855153,417.84321601126106
2026-07-08,0.00163545745277072,418.5265808129764
2026-07-09,0.0016706481688999481,419.22579147884755
2026-07-10,0.0016882249270045286,419.93353891006535
2026-07-13,0.0017266556178551615,420.65861951415025
2026-07-14,0.001715402428321192,421.3802183315591
2026-07-15,0.001718120757418144,422.10420043143995
2026-07-16,0.001716957814023339,422.8289355367028
2026-07-17,0.0017163769569965952,423.55466937840936
2026-07-20,0.0017151069425439648,424.2811109324072
2026-07-21,0.0017154788253550721,425.0089561942099
2026-07-22,0.0017153889930579232,425.73801187961647
2026-07-23,0.0017154274247094575,426.4683345409361
2026-07-24,0.0017154466202222768,427.1999182040562
2026-07-27,0.0017154885902382767,427.9327747894859
2026-07-28,0.001715476300671414,428.66688332291784
2026-07-29,0.0017154792693486135,429.40225247471454
2026-07-30,0.0017154779993024134,430.13888259168584
2026-07-31,0.0017154773649505927,430.876776108557
2026-08-03,0.0017154759779724844,431.6159348674375
2026-08-04,0.0017154763841043335,432.35636181070566
2026-08-05,0.0017154762859988124,433.09805889649266
2026-08-06,0.0017154763279698777,433.8410283642193
2026-08-07,0.0017154763489332266,434.58527238757506
2026-08-10,0.0017154763947685265,435.33079316386994
2026-08-11,0.0017154763813471358,436.0775928576157
2026-08-12,0.001715476384589217,436.82567367001144
2026-08-13,0.0017154763832022044,437.5750377967687
2026-08-14,0.001715476382509431,438.3256874396847
2026-08-17,0.0017154763809947174,439.0776248036708
2026-08-18,0.0017154763814382526,439.83085209863947
2026-08-19,0.0017154763813311117,440.58537153719544
2026-08-20,0.0017154763813769483,441.34118533604766
2026-08-21,0.0017154763813998423,442.0982957156306
2026-08-24,0.0017154763814498989,442.8567049002101
2026-08-25,0.0017154763814352413,443.6164151178267
2026-08-26,0.001715476381438782,444.3774286003799
2026-08-27,0.0017154763814372673,445.13974758358773
2026-08-28,0.0017154763814365107,445.90337430700595
2026-08-31,0.0017154763814348564,446.66831101403176
2026-09-01,0.0017154763814353408,447.4345599519119
2026-09-02,0.001715476381435224,448.20212337174735
2026-09-03,0.0017154763814352738,448.9710035285007
2026-09-04,0.001715476381435299,449.7412026810032
2026-09-07,0.0017154763814353536,450.51272309196077
2026-09-08,0.0017154763814353376,451.2855670279611
2026-09-09,0.0017154763814353415,452.05973675948024
2026-09-10,0.0017154763814353398,452.835234560889
2026-09-11,0.001715476381435339,453.6120627104599
2026-09-14,0.0017154763814353372,454.39022349037384
2026-09-15,0.0017154763814353378,455.1697191867267
2026-09-16,0.0017154763814353376,455.9505520895361
2026-09-17,0.0017154763814353376,456.73272449274805
2026-09-18,0.0017154763814353376,457.51623869424395
2026-09-21,0.0017154763814353378,458.30109699584705
2026-09-22,0.0017154763814353376,459.08730170332933
2026-09-23,0.0017154763814353378,459.87485512641825
2026-09-24,0.0017154763814353378,460.6637595788036
2026-09-25,0.0017154763814353378,461.4540173781442
2026-09-28,0.0017154763814353376,462.24563084607485
2026-09-29,0.0017154763814353378,463.03860230821294
2026-09-30,0.0017154763814353376,463.8329340941655
2026-10-01,0.0017154763814353376,464.6286285375359
2026-10-02,0.0017154763814353376,465.42568797593077
2026-10-05,0.0017154763814353378,466.22411475096675
2026-10-06,0.0017154763814353376,467.02391120827764
2026-10-07,0.0017154763814353378,467.825079697521
