Return,Volatility
0.026722620303540917,0.052234619397630105
0.03372814511149213,0.053001410038786584
0.04073367059544616,0.054794503270505585
0.04773919608895866,0.057462559832480165
0.05474472158991024,0.06089186371532857
0.061750247068407135,0.06496141541702558
0.06875577255851248,0.06955916168536685
0.07576129804482391,0.07458732816025963
0.08276682353275075,0.07996485494661892
0.08977234902324514,0.08562591619710617
0.09677787451171425,0.09151791089783692
0.1037834000001262,0.09759902406439107
0.11078892554536829,0.10383643504641224
0.11779445094636229,0.11020269893065011
0.12479997644573695,0.11667727362901655
0.13180550199823934,0.12324308404343232
0.13881102748344112,0.12988628445993655
0.14581655296754012,0.13659557457548469
0.15282207842006656,0.14336166903148592
0.15982760389742554,0.15017688634863444
0.16683312938894104,0.15703482905880503
0.17383865489458641,0.16393013435064896
0.18084418043304,0.17085865077462595
0.18784970585366434,0.17781542325488997
0.1948552313912836,0.18479829317516663
0.2018607568105452,0.19180407856334142
0.20886628228843196,0.1988303575748187
0.2158718077664411,0.2058750324225173
0.2228773333539643,0.21293627783579844
0.22988285881314435,0.2200124938589636
0.23688838451067173,0.22710232887572648
0.24389390994463642,0.2342044347667517
0.2508994353482835,0.241317860863578
0.25790496074373687,0.24844158373969008
0.2649104862318135,0.2555747510643947
0.2719160118556594,0.2627166012172168
0.27892153735719294,0.26986645243502216
0.28592706270178414,0.2770231156626773
0.29293258818671264,0.28418698934016334
0.29993811308000257,0.29135729336633853
0.3069436398772235,0.2985821185128927
0.3139491648060383,0.30589597775192834
0.32095468968592117,0.313292637334911
0.3279602157556666,0.3207663706729497
0.3349657411176909,0.3283119123286743
0.34197126670569156,0.3359244244041831
0.3489767924542352,0.3435994556510912
0.3559823175847884,0.3513329079649299
0.362987843073815,0.3591210082098277
0.3699933684216267,0.36696027644978324
