Date,Date,Actual_Price,Forecast_Price,Actual_Return,Forecast_Return
2024-03-11,2024-03-11,177.77000427246094,178.95494493046186,0.013858834181150304,
2024-03-12,2024-03-12,177.5399932861328,179.2604165081634,-0.0012938683737420131,
2024-03-13,2024-03-13,169.47999572753906,179.56640951814398,-0.04539820808488959,
2024-03-14,2024-03-14,162.5,179.87292485047539,-0.04118477639544138,
2024-03-15,2024-03-15,163.57000732421875,180.17996339674866,0.006584660456730784,
2024-03-18,2024-03-18,173.8000030517578,180.48752605007684,0.06254200201423088,
2024-03-19,2024-03-19,171.32000732421875,180.79561370509742,-0.014269250195585559,
2024-03-20,2024-03-20,175.66000366210938,181.10422725797505,0.025332688257929448,
2024-03-21,2024-03-21,172.82000732421875,181.41336760640414,-0.016167575308454918,
2024-03-22,2024-03-22,170.8300018310547,181.72303564961138,-0.01151490226146512,
2024-03-25,2024-03-25,172.6300048828125,182.03323228835845,0.010536808713131895,
2024-03-26,2024-03-26,177.6699981689453,182.34395842494462,0.029195349264770964,
2024-03-27,2024-03-27,179.8300018310547,182.65521496320935,0.012157391142962881,
2024-03-28,2024-03-28,175.7899932861328,182.96700280853491,-0.022465709302040393,
2024-04-01,2024-04-01,175.22000122070312,183.27932286784906,-0.003242460249155976,
2024-04-02,2024-04-02,166.6300048828125,183.59217604962768,-0.049024062767074494,
2024-04-03,2024-04-03,168.3800048828125,183.90556326389733,0.01050231020055925,
2024-04-04,2024-04-04,171.11000061035156,184.21948542223802,0.016213301154368365,
2024-04-05,2024-04-05,164.89999389648438,184.5339434377858,-0.036292482565110196,
2024-04-08,2024-04-08,172.97999572753906,184.8489382252354,0.04899940648952894,
2024-04-09,2024-04-09,176.8800048828125,185.1644707008429,0.02254601255405486,
2024-04-10,2024-04-10,171.75999450683594,185.48054178242847,-0.028946236061948905,
2024-04-11,2024-04-11,174.60000610351562,185.7971523893789,0.01653476762638495,
2024-04-12,2024-04-12,171.0500030517578,186.1143034426504,-0.020332204625772565,
2024-04-15,2024-04-15,161.47999572753906,186.43199586477118,-0.05594859487563397,
2024-04-16,2024-04-16,157.11000061035156,186.7502305798442,-0.027062145360474688,
2024-04-17,2024-04-17,155.4499969482422,187.0690085135499,-0.010565868854054306,
2024-04-18,2024-04-18,149.92999267578125,187.38833059314877,-0.03550983840996058,
2024-04-19,2024-04-19,147.0500030517578,187.70819774748412,-0.0192088959161848,
2024-04-22,2024-04-22,142.0500030517578,188.02861090698477,-0.03400203941675628,
2024-04-23,2024-04-23,144.67999267578125,188.3495710036678,0.018514534090260826,
2024-04-24,2024-04-24,162.1300048828125,188.67107897114113,0.12061109407252757,
2024-04-25,2024-04-25,170.17999267578125,188.99313574460643,0.04965143743002587,
2024-04-26,2024-04-26,168.2899932861328,189.31574226086167,-0.011105884774887609,
2024-04-29,2024-04-29,194.0500030517578,189.63889945830394,0.1530691710339953,
2024-04-30,2024-04-30,183.27999877929688,189.96260827693212,-0.05550118063944742,
2024-05-01,2024-05-01,179.99000549316406,190.28686965834967,-0.017950640048260635,
2024-05-02,2024-05-02,180.00999450683594,190.61168454576733,0.0001110562423569661,
2024-05-03,2024-05-03,181.19000244140625,190.9370538840059,0.006555235656792835,
2024-05-06,2024-05-06,184.75999450683597,191.26297861949894,0.01970303006416807,
2024-05-07,2024-05-07,177.80999755859375,191.58945970029555,-0.03761635178001199,
2024-05-08,2024-05-08,174.72000122070312,191.91649807606314,-0.017378079862311324,
2024-05-09,2024-05-09,171.97000122070312,192.24409469809015,-0.01573946875450305,
2024-05-10,2024-05-10,168.47000122070312,192.57225051928887,-0.02035238689978358,
2024-05-13,2024-05-13,171.88999938964844,192.9009664941982,0.020300339194899042,
2024-05-14,2024-05-14,177.5500030517578,193.2302435789864,0.03292805679333921,
2024-05-15,2024-05-15,173.99000549316406,193.56008273145386,-0.02005067585133169,
2024-05-16,2024-05-16,174.83999633789062,193.89048491103594,0.004885285464054867,
2024-05-17,2024-05-17,177.4600067138672,194.22145107880573,0.014985188920464187,
2024-05-20,2024-05-20,174.9499969482422,194.55298219747684,-0.014144086952910362,
2024-05-21,2024-05-21,186.6000061035156,194.88507923140622,0.0665905079079252,
2024-05-22,2024-05-22,180.11000061035156,195.21774314659694,-0.03478030697149992,
2024-05-23,2024-05-23,173.74000549316406,195.550974910701,-0.03536724832380789,
2024-05-24,2024-05-24,179.24000549316406,195.8847754930222,0.03165649721483632,
2024-05-28,2024-05-28,176.75,196.21914586451888,-0.01389201861667555,
2024-05-29,2024-05-29,176.19000244140625,196.55408699780676,-0.0031683030189180172,
2024-05-30,2024-05-30,178.7899932861328,196.88959986716188,0.014756744473008343,
2024-05-31,2024-05-31,178.0800018310547,197.22568544852325,-0.003971091681523098,
2024-06-03,2024-06-03,176.2899932861328,197.56234471949583,-0.0100517100545634,
2024-06-04,2024-06-04,174.77000427246094,197.8995786593533,-0.008622094682395387,
2024-06-05,2024-06-05,175.0,198.23738824904098,0.0013159908560766986,
2024-06-06,2024-06-06,177.94000244140625,198.5757744711786,0.01680001395089281,
