,TSLA,BND,SPY
TSLA,0.3269261759641566,0.0018034572446096267,0.049819789699000264
BND,0.0018034572446096267,0.002823371366088042,0.001085446458458669
SPY,0.049819789699000264,0.001085446458458669,0.031168709801927548
