Asset,Weight,Expected_Return,Risk_Contribution
TSLA,0.41041421134776324,0.5439349801192144,0.724030206561707
BND,0.0,0.019957042073480313,0.0
SPY,0.5895857886522368,0.14432023784253215,0.2759697934382931
